FATURA;ID_CONTA_CONTRATO;REGRA;SEGMENTO;STATUS;SUBSTATUS;OBSERVACAO;DADOS_BILLING;DADOS_CONTRATO;DADOS_TABELA_VERDADE;ID_LOTE;PRODUTO;TIPO_SERVICO;DESCRICAO_SERVICO;TIPO_IMPOSTO;PROMOCAO;GRUPO_LOCALIDADE
58;2125089;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '08572270' x Receita '08572010';NOME: ALFA COMERCIO | DOC: 14171975000197 | CEP: 08572270 | CIDADE: ITAQUAQUECETUBA - AN | UF: SP | IE: 559039878788;RAZAO: IGREJA PENTECOSTAL DEUS VIVO MINISTERIO PASTORES NILSON E SOLANGE SANTOS | SITUACAO: INAPTA | CEP: 08572010 | END: BRASIL, 1078 - JARDIM EUROPA - ITAQUAQUECETUBA/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO FIDELIDADE 12M;CAPITAL
59;2058981;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: AMANDA BARBOSA | DOC: 04446468685 | CEP: 17033360 | CIDADE: BAURU - AN | UF: SP | IE: -;;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO MIGRACAO;CAPITAL
60;1995534;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 79700-000 (representa sede do município, não um endereço específico);NOME: PEDRO OLIVEIRA | DOC: 14649769612 | CEP: 79700000 | CIDADE: FATIMA DO SUL - AN | UF: MS | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;;INTERIOR
61;373862;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: COMERCIO GERAL SA | DOC: 38539858000100 | CEP: 16204156 | CIDADE: BIRIGUI - AN | UF: SP | IE: 687951215839;RAZAO: LUMIE CALCADOS E ACESSORIOS LTDA | SITUACAO: ATIVA | CEP: 16204156 | END: AMARELA, 1021 - JARDIM ARCO-IRIS - BIRIGUI/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;CAPITAL
62;2624877;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;Endereço Receita x Correios divergente;NOME: EXPRESSO CARGA | DOC: 02835880000141 | CEP: 06719052 | CIDADE: COTIA - AN | UF: SP | IE: -;RAZAO: APM DA EM JOCINEIA DE MELO | SITUACAO: ATIVA | CEP: 06719052 | END: DAS AMEIXEIRAS, 451 - JARDIM PETROPOLIS - COTIA/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO MIGRACAO;CAPITAL
63;293802;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP da Receita é genérico: 05001-000 (sede do município) | CEP divergente: base '16010390' x Receita '05001000' | Cidade divergente: base 'ARACATUBA' x Receita 'SAO PAULO';NOME: METRO LOGISTICA | DOC: 06125086000165 | CEP: 16010390 | CIDADE: ARACATUBA - AN | UF: SP | IE: ISENTO;RAZAO: LEC BRASIL GESTAO COMERCIAL LTDA | SITUACAO: ATIVA | CEP: 05001000 | END: FRANCISCO MATARAZZO, 404 - AGUA BRANCA - SAO PAULO/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;;CAPITAL
64;40053;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: TURBO FRETES | DOC: 29400457000175 | CEP: 06460030 | CIDADE: BARUERI - AN | UF: SP | IE: 277250435753;RAZAO: BELLA CALCADOS E ACESSORIOS LTDA | SITUACAO: ATIVA | CEP: 06460030 | END: PIRACEMA, 669 - TAMBORE - BARUERI/SP;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO FIDELIDADE 12M;CAPITAL
65;747675;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: EMPRESA TESTE LTDA | DOC: 13753335000122 | CEP: 17014040 | CIDADE: BAURU - AN | UF: SP | IE: -;RAZAO: A. DE O. M. PEREIRA | SITUACAO: ATIVA | CEP: 17014040 | END: VILA NOVA SANTA CLARA - BAURU/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO MIGRACAO;CAPITAL
66;2669123;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: ANA COSTA | DOC: 06207923618 | CEP: 08011010 | CIDADE: SAO PAULO - AN | UF: SP | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;;CAPITAL
67;363255;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: RENATA MOURA | DOC: 37145517604 | CEP: 12421770 | CIDADE: PINDAMONHANGABA - AN | UF: SP | IE: -;;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO FIDELIDADE 12M;CAPITAL
68;384266;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 19380-000 (representa sede do município, não um endereço específico);NOME: HOLDING GENERICO LTDA | DOC: 49847361000167 | CEP: 19380000 | CIDADE: RIBEIRAO DOS INDIOS - AN | UF: SP | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO MIGRACAO;CAPITAL
69;438984;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: EXPRESSO CARGA | DOC: 25214506000124 | CEP: 13484500 | CIDADE: LIMEIRA - AN | UF: SP | IE: ISENTO;RAZAO: CONDOMINIO CARIBBEAN RESIDENCE CLUB ARUBA | SITUACAO: ATIVA | CEP: 13484500 | END: CARLOS GUILHERME SCHNOOR, 100 - CHACARA ANTONIETA - LIMEIRA/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;;CAPITAL
70;1907487;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: VIDEIRA TRANSPORTES | DOC: 21591194000117 | CEP: 17360290 | CIDADE: TORRINHA - AN | UF: SP | IE: 794470590668;RAZAO: 21.591.194 RAQUEL DALANEZA PONGETTI | SITUACAO: ATIVA | CEP: 17360290 | END: JARDIM PAULISTA - TORRINHA/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO FIDELIDADE 12M;CAPITAL
71;811550;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: TRADING BRASIL SA | DOC: 12932443000280 | CEP: 13611220 | CIDADE: LEME - AN | UF: SP | IE: -;RAZAO: FH & MARTINS TRANSPORTES PARAISO LTDA | SITUACAO: ATIVA | CEP: 13611220 | END: ALBINO ROEL, 127 - JARDIM RESIDENCIAL MARIANA - LEME/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO MIGRACAO;CAPITAL
72;2730523;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: LEANDRO PINTO | DOC: 04172382665 | CEP: 88371895 | CIDADE: NAVEGANTES - AN | UF: SC | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;;CAPITAL
73;2853549;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: LUCIA ALMEIDA | DOC: 07416796636 | CEP: 36406056 | CIDADE: CONSELHEIRO LAFAIETE - AN | UF: MG | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;CAPITAL
74;1365346;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: LEANDRO PINTO | DOC: 06285062609 | CEP: 05402600 | CIDADE: SAO PAULO - AN | UF: SP | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO MIGRACAO;CAPITAL
75;2449840;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '17363006' x Receita '13498222' | Cidade divergente: base 'TORRINHA' x Receita 'IRACEMAPOLIS';NOME: TRADING BRASIL SA | DOC: 19428778000124 | CEP: 17363006 | CIDADE: TORRINHA - AN | UF: SP | IE: ISENTO;RAZAO: PASTORI E CIA TRANSPORTES LTDA. | SITUACAO: ATIVA | CEP: 13498222 | END: RALPHO ELISIO MONTEIRO DOS SANTOS, 586 - PARQUE INDUSTRIAL E EMPRESARIAL CATHARINA BIAZIO - IRACEMAPOLIS/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;;CAPITAL
76;506156;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 79652-000 (representa sede do município, não um endereço específico);NOME: DISTRIBUIDORA MODELO | DOC: 09027741000130 | CEP: 79652000 | CIDADE: TRES LAGOAS - AN | UF: MS | IE: 217463871943;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO FIDELIDADE 12M;INTERIOR
77;21734;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '09080510' x Receita '09080500';NOME: CENTRAL DISTRIBUIDORA | DOC: 26705874000138 | CEP: 09080510 | CIDADE: SANTO ANDRE - AN | UF: SP | IE: -;RAZAO: G PLAZA COMERCIO VAREJISTA DE ALIMENTOS LTDA | SITUACAO: ATIVA | CEP: 09080500 | END: INDUSTRIAL, 600 - JARDIM - SANTO ANDRE/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO MIGRACAO;CAPITAL
78;1293606;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP da Receita é genérico: 17280-000 (sede do município) | CEP divergente: base '17284088' x Receita '17280000' | CEP da Receita não encontrado nos Correios;NOME: SUL NORTE TRANSPORTES | DOC: 66580341000191 | CEP: 17284088 | CIDADE: PEDERNEIRAS - AN | UF: SP | IE: ISENTO;RAZAO: BESSI MATERIAIS PARA CONSTRUCAO LTDA | SITUACAO: ATIVA | CEP: 17280000 | END: ANTONIO P DOS SANTOS, L 105 - VILA RUIZ - PEDERNEIRAS/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;;CAPITAL
79;2480209;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: JOAO SILVA | DOC: 03014101605 | CEP: 05402600 | CIDADE: SAO PAULO - AN | UF: SP | IE: -;;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO FIDELIDADE 12M;CAPITAL
80;2750454;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 05145-000 (representa sede do município, não um endereço específico);NOME: SIMONE CAVALCANTI | DOC: 09525888622 | CEP: 05145000 | CIDADE: SAO PAULO - AN | UF: SP | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO MIGRACAO;CAPITAL
81;1861956;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 19500-000 (representa sede do município, não um endereço específico);NOME: VIDEIRA TRANSPORTES | DOC: 52269636000137 | CEP: 19500000 | CIDADE: MARTINOPOLIS - AN | UF: SP | IE: ISENTO;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;;CAPITAL
82;2874302;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '19190160' x Receita '19275027' | Cidade divergente: base 'SANTO EXPEDITO' x Receita 'EUCLIDES DA CUNHA PAULISTA';NOME: SIGMA TECNOLOGIA | DOC: 63720070000134 | CEP: 19190160 | CIDADE: SANTO EXPEDITO - AN | UF: SP | IE: 888435239225;RAZAO: AUTO POSTO EUCLIDES DA CUNHA LTDA | SITUACAO: ATIVA | CEP: 19275027 | END: JOSE JOAQUIM MANO, 1682 - CENTRO - EUCLIDES DA CUNHA PAULISTA/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO FIDELIDADE 12M;CAPITAL
83;2742136;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: JULIANA ARAUJO | DOC: 62817426649 | CEP: 88113600 | CIDADE: SAO JOSE - AN | UF: SC | IE: -;;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO MIGRACAO;CAPITAL
84;2855795;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '36406043' x Receita '36406150';NOME: ALFA COMERCIO | DOC: 21526083000127 | CEP: 36406043 | CIDADE: CONSELHEIRO LAFAIETE - AN | UF: MG | IE: ISENTO;RAZAO: OMEGA COMERCIO E SERVICOS LTDA. | SITUACAO: ATIVA | CEP: 36406150 | END: GERALDO PLAZA, 780 - PAULO VI - CONSELHEIRO LAFAIETE/MG;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;;CAPITAL
85;2890887;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: FABIO RIBEIRO | DOC: 20784643687 | CEP: 16901145 | CIDADE: ANDRADINA - AN | UF: SP | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;CAPITAL
86;2342939;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 70636-000 (representa sede do município, não um endereço específico);NOME: PEDRO OLIVEIRA | DOC: 02391974612 | CEP: 70636000 | CIDADE: BRASILIA - AN | UF: DF | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO MIGRACAO;CAPITAL
87;2393289;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '25230480' x Receita '22743310' | Cidade divergente: base 'DUQUE DE CAXIAS' x Receita 'RIO DE JANEIRO' | Endereço Receita x Correios divergente;NOME: NOVA ERA COMERCIO | DOC: 28445729000190 | CEP: 25230480 | CIDADE: DUQUE DE CAXIAS - AN | UF: RJ | IE: ISENTO;RAZAO: SOMOS SONHO LTDA | SITUACAO: ATIVA | CEP: 22743310 | END: DO CAMPO D'AREIA, 00132 - PECHINCHA - RIO DE JANEIRO/RJ;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;;CAPITAL
88;1210131;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: DISTRIBUIDORA MODELO | DOC: 31576502000199 | CEP: 17021360 | CIDADE: BAURU - AN | UF: SP | IE: 140828187316;RAZAO: IGREJA EVANGELICA BLINDADOS POR DEUS | SITUACAO: ATIVA | CEP: 17021360 | END: JOAO BATINI, 3-57 - JARDIM GODOY - BAURU/SP;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO FIDELIDADE 12M;CAPITAL
89;1928102;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: CARLOS PEREIRA | DOC: 01562708627 | CEP: 17012633 | CIDADE: BAURU - AN | UF: SP | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO MIGRACAO;CAPITAL
90;175851;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP da Receita é genérico: 01215-000 (sede do município) | CEP divergente: base '09430305' x Receita '01215000' | Cidade divergente: base 'RIBEIRAO PIRES' x Receita 'SAO PAULO';NOME: ULTRA SUPPLY | DOC: 36893412000145 | CEP: 09430305 | CIDADE: RIBEIRAO PIRES - AN | UF: SP | IE: ISENTO;RAZAO: ASSOCIACAO DA PEDRA PARA A ROCHA | SITUACAO: ATIVA | CEP: 01215000 | END: GLETE, 485 - CAMPOS ELISEOS - SAO PAULO/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;;CAPITAL
91;2314979;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: SUL NORTE TRANSPORTES | DOC: 47786271000188 | CEP: 07251050 | CIDADE: GUARULHOS - AN | UF: SP | IE: 669567002266;RAZAO: WAUX DISTRIBUIDORA E IMPORTADORA LTDA | SITUACAO: ATIVA | CEP: 07251050 | END: ARAUCARIA, 108 - AGUA CHATA - GUARULHOS/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO FIDELIDADE 12M;CAPITAL
92;2354496;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: CAMILA NASCIMENTO | DOC: 37636685604 | CEP: 17031690 | CIDADE: BAURU - AN | UF: SP | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO MIGRACAO;CAPITAL
93;2717676;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: DISTRIBUIDORA MODELO | DOC: 52638797000150 | CEP: 92420047 | CIDADE: CANOAS - AN | UF: RS | IE: ISENTO;RAZAO: LUMENS BRASIL ILUMINACAO LTDA | SITUACAO: ATIVA | CEP: 92420047 | END: MCLANE, 1106 - SAO LUIS - CANOAS/RS;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;;CAPITAL
94;2806353;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: ROBERTO LIMA | DOC: 10370322681 | CEP: 18074385 | CIDADE: SOROCABA - AN | UF: SP | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO FIDELIDADE 12M;CAPITAL
95;2851553;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: GRUPO FICTICIO ME | DOC: 37149733000100 | CEP: 36400029 | CIDADE: CONSELHEIRO LAFAIETE - AN | UF: MG | IE: -;RAZAO: ROGERIO COSTA GONCALVES IDIOMAS E EMPREENDIMENTOS | SITUACAO: ATIVA | CEP: 36400029 | END: CENTRO - CONSELHEIRO LAFAIETE/MG;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO MIGRACAO;CAPITAL
96;262464;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '16200001' x Receita '16200095';NOME: HOLDING GENERICO LTDA | DOC: 18455277000174 | CEP: 16200001 | CIDADE: BIRIGUI - AN | UF: SP | IE: ISENTO;RAZAO: ALEXANDRE KISHIMOTO | SITUACAO: ATIVA | CEP: 16200095 | END: CENTRO - BIRIGUI/SP;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;;CAPITAL
97;1359225;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: THIAGO CARVALHO | DOC: 01265231699 | CEP: 17286228 | CIDADE: PEDERNEIRAS - AN | UF: SP | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;CAPITAL
98;2809655;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP da Receita é genérico: 17030-000 (sede do município) | CEP divergente: base '17012647' x Receita '17030000';NOME: COMERCIAL PADRAO SA | DOC: 65766119000115 | CEP: 17012647 | CIDADE: BAURU - AN | UF: SP | IE: -;RAZAO: LUZ DE BAURU SPE SA | SITUACAO: ATIVA | CEP: 17030000 | END: RODRIGUES ALVES, 3483 - VILA CARDIA - BAURU/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO MIGRACAO;CAPITAL
99;2026887;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: ALFA COMERCIO | DOC: 07302283000175 | CEP: 18145042 | CIDADE: SAO ROQUE - AN | UF: SP | IE: ISENTO;RAZAO: AUTO POSTO MOTTA CASTRO LTDA | SITUACAO: ATIVA | CEP: 18145042 | END: AMARO GODINHO, 660 - CENTRO (CANGUERA) - SAO ROQUE/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;;CAPITAL
100;1268761;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: VIDEIRA TRANSPORTES | DOC: 62955505880612 | CEP: 13308123 | CIDADE: ITU - AN | UF: SP | IE: 608217155426;RAZAO: IGREJA DO EVANGELHO QUADRANGULAR | SITUACAO: ATIVA | CEP: 13308123 | END: PEDREGULHO, 59 - CIDADE NOVA I - ITU/SP;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO FIDELIDADE 12M;CAPITAL
1;2248075;VALOR_FATURADO;CORPORATIVO;INCORRETO;ERRO;FATURAMENTO_ZERADO;NOME: VIDEIRA TRANSPORTES | DOC: 52611183000185 | CEP: 79610230 | CIDADE: TRES LAGOAS - AN | UF: MS | IE: 303932645883;RAZAO: VIDEIRA TRANSPORTES RODOVIARIOS LTDA | SITUACAO: ATIVA | CEP: 09842000 | END: ASSUMPTA SABATINI ROSSI, 1500 - BATISTINI - SAO BERNARDO DO CAMPO/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;INTERIOR
